protein	ESR2
protein	CHRNA7
protein	MECP2
protein	MBD2
protein	DNMT1
protein	SNAI2
protein	ETS1
protein	CHD4
protein	ALOX15
protein	Icomucret
protein	PML
protein	BAG1
protein	CCL11
protein	CCR3
protein	EVX1
protein	GSC
protein	PER2
protein	POU2F1
protein	HDAC2
protein	TUBB
protein	PRLR
protein	GFI1B
protein	HOXA10
protein	MYCN
protein	CRTC2
protein	NCOR1
protein	HIC1
protein	PTGES
protein	ZFYVE9
protein	TBX21
protein	DLL3
protein	MAML3
protein	EIF3F
family	NOTCH
protein	MAP4K2
protein	GH1
protein	LRP6
protein	PLD1
protein	GLI2
protein	MAP4K1
protein	CBLC
protein	DAB2
protein	SOX4
protein	HMGA1
protein	CAV1
protein	NFYA
protein	ADRB2
protein	HOXB13
protein	SIRT2
protein	ING1
protein	IRF5
protein	CIITA
protein	IRF4
protein	JUNB
protein	PROX1
protein	ATF2
protein	ATF1
protein	FOXP3
protein	MAFA
protein	POU1F1
protein	LHX2
protein	BTG2
protein	NFE2L2
protein	PTPRR
protein	DAB2IP
protein	SKP2
protein	FZD6
protein	NHLH2
protein	F2RL1
protein	KDM6B
protein	NR5A1
protein	NR5A2
protein	CDX2
protein	GNRH1
protein	PITX1
protein	RNF8
protein	MMP9
protein	FOXA2
protein	PLD2
protein	GNAI1
protein	PLCB2
protein	PLCB3
protein	RORC
protein	ABI1
protein	CSF2RA
protein	IL6R
protein	HDAC9
complex	P300/PCAF
protein	REST
protein	RUNX3
protein	CCL2
protein	CCR2
protein	CCR1
protein	CCR5
protein	SALL4
protein	TP63
protein	TWIST1
protein	ZEB1
protein	ZEB2
protein	HDAC7
protein	CASP8AP2
protein	SOCS1
protein	HSPH1
protein	TBX5
protein	SPRY1
protein	PLAUR
protein	ICK
complex	FN1/SDC4
protein	PAX7
protein	FRS2
protein	AXIN2
protein	MCOLN1
protein	MSI1
protein	MSTN
protein	nitric oxide
protein	dinoprost
protein	MCM2
protein	NOS2
protein	TCF3
protein	GNAQ
protein	TRIP11
protein	RAC1
protein	GHR
protein	MAP2K5
protein	TP73
protein	EFNA1
protein	IRF9
protein	PDX1
protein	HACE1
protein	CSF1
protein	CSF1R
complex	CSF2RA/CSF2RB
protein	YBX1
protein	GRHL2
protein	ALOX5
protein	PPP1R8
protein	PJA1
protein	SET
protein	CRK
protein	HSPB1
complex	BMPR1A/1B/2
protein	SIK1
protein	CLSPN
protein	NRARP
protein	BUB1
protein	BTK
protein	SFN
protein	ABL2
protein	TAX1BP1
protein	TNFRSF21
protein	TICAM2
protein	UBE2V1
protein	TP53RK
protein	HES6
protein	TICAM1
protein	PHB2
protein	TRIM27
protein	KNL1
protein	PELI1
protein	PTCRA
protein	RPS6KA2
protein	SMARCD3
protein	RANBP9
protein	MSX1
protein	TNFSF10
protein	ZNHIT1
protein	BNIP2
protein	PPP1R2
protein	WNT7B
protein	VEGFC
protein	WNT10A
protein	ARHGEF1
protein	CP
protein	coenzyme I
protein	JAG1
protein	MEF2A
family	p38
protein	GRB7
protein	PGR
protein	FRAT1
protein	AIMP1
protein	PARD6A
protein	KIF7
protein	CDK6
protein	E2F2
protein	GABARAP
complex	BAK/BAX
protein	NOXA1
protein	PXN
protein	AGTR2
protein	SMARCB1
protein	CDK5R1
protein	PBX1
family	PP2B
protein	EDNRA
protein	MSX2
protein	MKL1
protein	MYOCD
protein	CRTC3
protein	SOX2
protein	ID2
protein	PKMYT1
protein	BAG4
complex	CDK5/CDK5R1
protein	WEE1
protein	CD79A
protein	WNT4
protein	PSENEN
protein	NOS1
protein	NOTCH2
protein	MAP3K10
protein	AC1NUST0
protein	PLAU
protein	BDNF
protein	TRIM28
protein	VEPH1
protein	TIAM1
protein	EPHB2
protein	PTGER3
protein	SH3RF1
protein	CDH15
complex	IFNGR2/INFGR1
protein	NOTCH3
protein	CDKN1B
protein	LFNG
protein	SMAD5
protein	GTF2I
protein	IHH
protein	HHIP
protein	CD28
protein	RBBP8
protein	IL23A
protein	IL23R
protein	MALT1
protein	KDR
protein	BCL10
protein	PI4K2A
protein	E2F3
protein	FBXO32
protein	DAAM1
protein	FOXO4
protein	NUAK2
protein	ID3
protein	MSC
protein	NRP2
protein	KLF6
protein	TSC1
protein	TSC2
protein	PIK3CB
complex	MYOD/E12E47
protein	RBL2
protein	BIRC2
protein	APC
complex	SMAD2/SMAD4
protein	FNTB
protein	FOXO6
protein	CUL1
protein	EPS15
protein	MAP3K20
protein	ASCL1
protein	SMARCA4
protein	BRSK2
protein	PTK2B
