#Treatment	Dose	Effect
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.711734712468329|0.97044398397703|0.965060887773618|1.02097124075995|1.05300746491635
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.600156925999432|0.923978341297044|0.955771645949682|0.968354876244659|1.03001756308012
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.645043839363911|0.917458005727163|1.03590793241554|1.03650820204485|1.05316814437961
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.631867428976294|0.936027002292833|1.04619123999961|1.00400507769063|1.07270150854646
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.551892102300822|0.646039577919687|0.739703113000116|0.831399324587335|0.826391592059167
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.581570281842761|0.679452515964778|0.766919508063922|0.797670773147612|0.868462857563675
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.619543906717573|0.661624187390362|0.640202249509854|0.802177277886699|0.83637395521618
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.554235888969147|0.671850170261067|0.678547105561861|0.754958208647198|0.813920132081313
PK	10|2|0.4|0.08|0.016	0.000822148454107504|0.00131768998809011|0.0218826636483682|0.95664293135342|1.09537203625337
PK	10|2|0.4|0.08|0.016	0.000664476147840312|0.00102486999073675|0.0130755391125865|0.912663620212463|1.07107923878063
PK	10|2|0.4|0.08|0.016	0.000499989825788429|0.00117439470708445|0.0159415360733939|0.873796172752299|0.917411564299564
PK	10|2|0.4|0.08|0.016	0.000267436418444974|0.00108137334414707|0.0137090233628967|0.928190414729933|0.996770414555518
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00344698347910061|0.00158670668085584|0.0208022717262548|0.904543178939478|0.983035917020712
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00248401666589155|0.000776939133384582|0.0262736740740335|0.813072274489313|0.889277966389175
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0022234261077628|0.00159138619895713|0.0222906932123428|0.912857497573418|0.904787702309203
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0014108033678698|0.00125279339066838|0.0224938488973161|0.867576352678269|0.966434166271642
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000785159381825219|0.000829393713195654|0.0194962815515192|0.829216775870172|0.994000718807885
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00105056537004783|0.000851510878880871|0.018965469575074|0.841447568494098|0.95434464073429
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00148091206095479|0.00152613074983891|0.0170587503815327|0.832509976373235|0.948168077866582
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0016391774720492|0.0012095999276501|0.0202240586034208|0.844255530810884|0.947184571383353
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00113234858176011|0.00132463418998352|0.0362992498190646|1.04225209177365|1.10726599242074
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000918697905956314|0.0015596499333677|0.0418648499237534|1.03097133609121|1.02464727608742
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00082463264514484|0.000694427490648286|0.0373471784814281|0.990980580443728|1.02654828848037
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00141055584037933|0.000998239517806911|0.0328116989331315|0.992260931129611|0.882834349204799
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000451102766849073|0.000533121451730722|0.0405069779959247|1.01076751547462|1.00939370250285
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000881700862477733|0.00104573823224103|0.0419012956389127|1.06794479117274|1.01935897271597
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000434269809858912|0.000513227957105986|0.0399034736649905|1.03577297558713|1.03396680796885
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000572446567541293|0.00112515359827082|0.0433776321438617|1.01913254605481|1.03729291992163
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000459312562198576|0.000590544722826741|0.0130794720092737|0.899847989413939|0.916591025907416
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000349952428341772|0.000524928642512658|0.0167758445336337|0.891011690598309|0.968044968887042
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000471223362434791|0.000430247417875244|0.0190743021924691|0.862154361505149|0.819754502872158
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000696591057512299|0.000553175251553885|0.0174147764378075|0.844186409815788|0.862574364936884
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000609164112619215|0.00113130478057854|0.0378551984270512|1.07390194089476|1.04873040952689
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000891990307763851|0.000848478585433907|0.0482436221333254|1.14690373303383|1.13098932059165
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00137819535919217|0.00150541339234837|0.0336703727753409|1.00366546958031|1.10840831687892
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0013993983647182|0.0013993983647182|0.0349213501013769|0.982420058043228|1.00680351439817
JN	10|2|0.4|0.08|0.016	0.715607029396389|1.07738167048699|1.07262637230064|1.07879921180681|1.01446696424981
JN	10|2|0.4|0.08|0.016	0.746390799050951|1.02674226887039|1.04064623798609|1.0446977922548|1.05570635782362
JN	10|2|0.4|0.08|0.016	0.506495701110696|1.06226348427667|1.07572087688124|1.00201246396256|1.00011777778916
JN	10|2|0.4|0.08|0.016	0.771792731574177|1.06498773574761|1.05547333869308|1.02377575108944|1.06591971651398
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.624620507296053|0.733615450829601|0.865588709802123|0.942533593802349|0.982521429418223
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.613971516785304|0.68067976227907|0.817405378101016|0.921596420784603|1.00061337360638
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.647968207291866|0.752913976432483|0.878763664258774|0.962922713034584|0.990325811332012
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.653369984444586|0.676085149907307|0.823169042596262|0.984508512859852|1.01290246968825
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.453238543650168|0.946408398608066|1.12944293256918|0.924413061534065|1.0593975585069
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.362853625251373|1.02915530534688|1.01317423479675|0.932424961876708|1.05131088042773
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.384918987980437|0.823276341452167|1.1216631538401|1.01137938798152|0.860200353181482
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.349492335527833|0.837913570903488|1.01708671392029|1.03521778168393|0.912358367986893
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.658353731209391|0.978800733041996|1.04180133536671|1.01800566441542|0.978370134946367
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.602540016147429|0.999653983673155|1.00718945034666|0.995430021401751|1.00893234740039
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.585612838594742|1.0209683229783|0.962065545131984|0.956380558530194|0.880462299952132
