#Treatment	Dose	Effect
PK-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000382445283433785|0.00123338603907396|0.00232335509686024|0.905157155132953|0.977367605211295
PK-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000927368725465911|0.00149355173680299|0.00268448841582237|0.810695978026242|0.975845705367635
PK-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000527135907106939|0.00122022200719199|0.00212806718054283|0.904531050379306|0.968895320814669
JN-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0429886327424754|0.968787102918035|0.979894755362198|0.997395336705329|0.987035740606541
JN-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0343662990773562|0.95789107167684|0.999851126944424|0.955902816653604|0.959584041300585
JN-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0449240613608092|0.874725704781472|1.01751296350651|0.971465673549618|0.922485791285322
JN-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0280451375256189|0.954073418998573|1.03949978208857|0.971948509371462|0.996146207769337
D1-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.37652129573508|0.788538690218489|0.974750098613637|1.00328070732435|1.0426780577443
D1-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.395912103982067|0.839928420931105|0.973735099720033|0.999408318180506|1.04389990475366
D1-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.432521385894946|0.834689873636665|1.01180115936013|0.953857862250621|1.02432877199745
D1-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.427263247888591|0.823368074602304|1.01215697321018|0.987778782622447|0.989439247256033
60-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.411114710594166|0.832036779813705|0.933909053390195|1.02405243608575|1.01184870928948
60-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.41301405425555|0.825872788351876|1.02917800134019|1.01335753369338|1.00598204498959
60-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.423339613377879|0.788133165344804|0.973795280487948|1.04436324288862|1.01991899488047
60-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.404165064705049|0.768353687564766|0.917703016018906|1.00675113663836|0.989293393812044
SB-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.189463119926071|0.847218219938989|1.02809602829973|1.07923030297008|1.06969603624909
SB-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.176560310820076|0.851033913968024|1.00717926806244|1.11884793863092|1.07666663354432
SB-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.167259415982402|0.763008860454833|0.896039942012437|0.992917233388746|1.00928808512306
SB-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.151627401922097|0.723550450858899|0.929260770518138|1.00319827156762|1.04308655035571
RU-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.258831688360017|0.869116184773455|0.956981803200056|1.07673924363849|1.05734511093149
RU-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.292922446425098|0.871769406516825|0.993571132560806|1.03113186004618|1.01470508280444
RU-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.30869842928897|0.895179475268318|0.952965769532271|0.993554568417385|1.04256791413833
RU-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.345396742444038|0.907562252610593|1.00489697955076|1.01633616893612|1.03003029159287
D4-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.286923153060191|0.857547546533998|0.940015768258927|0.994296805050394|0.978050720095201
D4-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.328662394295212|0.835804186893687|0.982373907968432|0.99367790657591|0.993413964579439
D4-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.277423014334042|0.872902748447335|1.03070792395631|1.03064076873541|1.04455628986592
D4-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.312573975673021|0.876649050413185|0.949680353140526|1.05075375739457|1.01730566058552
F4-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.376888351799025|0.87424079571929|0.9078171751268|0.963043440370437|1.01656857675705
F4-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.469130437308638|0.871261496272971|0.959255407533073|1.00569250701541|1.00891814479349
F4-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.403618294128892|0.86152741926215|0.960595402425566|0.977225575752316|1.00245465111233
F4-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.413718368366549|0.887497698398085|0.975715021221649|0.98346013156367|1.03222008122749
SF-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00147198891678933|0.789722053857477|0.911555594038926|0.951900597454325|0.994265977814337
SF-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000913980046372461|0.797630386469247|0.928002424452333|0.983938003290328|0.975692941187789
SF-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00132441821964587|0.836192198781338|1.00131947636062|0.978379366750184|0.969276462419633
SF-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000830232316792931|0.874437245803126|0.94781396865873|0.929494497239972|0.91175816518658
ST-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.294105378071456|0.79899352536822|0.944568454031889|0.934019996361071|1.02887623645941
ST-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.28496811499017|0.816300628824759|0.90493074939758|0.941404360502527|0.927407795296906
ST-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.30326970572542|0.797211362017055|0.895529382194849|0.985403955256546|0.95097411691533
ST-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.268976189436532|0.764732633049791|0.910316064808356|0.881066464455622|0.960968227376663
G2-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00423303556346076|0.604077029323211|0.877301588878842|1.0163011616006|1.02171169649334
G2-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00334866897860628|0.587189602233771|0.88441626837048|1.01590866182418|1.07510657114183
G2-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00401211246004959|0.55364017485825|0.83508359500501|0.909804711769348|0.934490845689274
G2-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00300012873686744|0.526276314095568|0.799014883101327|0.996262153040149|0.944767406064066
G4-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.313640773590536|0.878433874247438|1.06968331696213|1.02771988454378|1.11873167301579
G4-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.347050103120435|0.854530714424658|0.994890494192755|1.00251669439501|1.01764827413725
G4-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.259651211179824|0.872547881040173|0.977808746818415|0.994633645927087|1.0297399568369
G4-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.296857610157845|0.859424750070164|0.983804159529271|1.03497082135702|1.00096294360731
