PI	10|2|0.4|0.08|0.016	0.368904847396768|0.509892280071813|0.746104129263914|0.952064631956912|1.08723518850987
PI	10|2|0.4|0.08|0.016	0.469748653500898|0.485619389587074|0.697989228007181|0.974254937163375|0.919497307001795
PI	10|2|0.4|0.08|0.016	0.360825201621887|0.471505591944036|0.757118032348617|1.02672548233302|1.0437998485051
PI	10|2|0.4|0.08|0.016	0.495513077574299|0.510733859109745|0.777293588201221|1.03086040190705|0.934883928173595
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.085787669700468|0.0434576386465129|0.263681191326371|0.671517169167987|0.982629473514645
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.120439230005101|0.0391261936084338|0.242972588396381|0.753850421957921|0.95306109664313
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0712266238151797|0.0419571950907101|0.272386408626191|0.739709820908731|1.03564591629987
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.115810801369384|0.0434849437574233|0.273429749179068|0.748410535876476|0.926765877174597
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.107642189388976|0.388024991002132|0.76850100130123|1.03871390470565|1.02121651178029
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0842200463274855|0.377061434675477|0.711043844996724|1.01315073044233|1.03446875663304
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.101422523440872|0.380343646398692|0.783480728434857|0.945091880871697|0.970934236989283
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0945900028468836|0.379866104636747|0.767042271629428|0.865305672645122|1.10519694005933
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.24009840098401|0.425989944109967|0.603560561921409|0.842899376362185|0.801035799831682
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.150898772145616|0.356142508793509|0.58943915754947|0.861854513281975|0.9458406163009
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.29045573870857|0.359136573193696|0.60376798419339|0.832555680268638|0.981772306893129
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.15148001447084|0.377855903824569|0.556941829077113|0.764097474096268|0.945168501804217
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.497025626711791|0.521588193220871|0.726776337595729|0.883833714215934|1.0601852659491
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.438340631160267|0.500566962650245|0.668684472201385|0.924096784885648|1.0012211503236
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.478325545580231|0.5835739661539|0.753224479795593|0.891898986717068|0.967763952328451
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.416233527589647|0.539437531719781|0.714688227367389|0.872088342871143|0.926007595246846
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00346383482977075|0.00561505856615469|0.145809215623718|0.440563328927578|0.583255093204503
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0010573811585616|0.00437537031128937|0.150713276514288|0.420910623946037|0.637017455904471
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00262919472029276|0.00302002096249845|0.155424490593523|0.355865058357464|0.60006040041925
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00177648291911673|0.0034819065214688|0.150876694320584|0.455365866657192|0.582313336057274
PK	10|2|0.4|0.08|0.016	0.000610412926391382|0.00351885098743268|0.0617953321364452|0.801921005385996|0.947755834829443
