#Treatment	Dose	Effect
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.328429813278997|0.290486310558319|0.771845711993878|0.80072285046492|0.767075882395426
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.438232015403993|0.630486586654699|0.947374516815543|0.991339597237705|1.05537040522346
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.3730893402632|0.469080537981556|0.830535809940208|0.902372851910298|1.04961996728099
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.542286448381775|0.746992115920103|1.07101540949611|1.12886460119859|1.08065368086757
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.42790533887197|0.556026528070324|0.933399414400021|0.993041924524119|1.01233150958284
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.248473749471101|0.545264743408574|1.09201938832355|1.10364454086692|1.00590569511583
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.263960883550801|0.45060372050624|1.02002055149227|0.928443886094416|0.896299914559376
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.446012337117203|0.759265613023324|0.85883125889696|0.858531956053582|0.956768989305398
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.45927656312735|0.577085082308282|0.827616162353542|0.86126948206008|0.824907836624448
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.229020835568797|0.297555402667407|0.633487133199942|0.571498002284906|0.824522978457499
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.219982200453194|0.262038363704073|0.513908262903093|0.452020122324545|0.747328490005113
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00164731228400156|0.00173336591077776|0.00313481068970445|0.695663665546433|1.04747547855805
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00116787064910558|0.00130309777689675|0.00224968767143496|0.404956074233546|0.936042178570496
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.13419425824852|0.358084924644941|0.825764046733166|0.91673446932955|0.957387112185659
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.124199035802701|0.266587523344867|0.699306530771792|0.856629942235027|0.84276055767087
60	10|2|0.4|0.08|0.02	0.964544464515119|0.945000554298421|1.04015729032847|1.04343091159266|0.981727715573177
60	10|2|0.4|0.08|0.02	0.82358963657587|0.898948137231247|0.872048360906963|0.885716707858647|0.931403940083601
5Z-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.444977381922855|0.59500654282405|0.770494722448666|0.79281710642177|0.98790271858015
5Z-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.42620331601105|0.514911267543509|0.699201628436208|0.743990158808471|0.825549196972494
AK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.743453662809797|0.837741358542906|1.06353250355878|1.10150016425156|1.03622294411797
AK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.440289082746286|0.805416651458189|0.969142606854765|0.960681826477352|1.01744716574807
