#Treatment	Dose	Effect
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.36651978672612|0.677274272874185|0.949215997644312|0.97372636863009|1.01145943975293
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.326019717200611|0.540784598288621|0.884415886403498|0.942625680502827|0.98647232242075
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.493079470702501|0.734499180897412|1.05921883479487|1.14211303108532|0.992468313663037
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.492907028052362|0.654424929120999|0.997585802898051|1.09669468014424|1.04924252030005
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.17275871053607|0.554807599386902|1.02654598788727|1.0153066654271|0.991262246372114
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.218993084905326|0.415042685694084|0.998777962218359|0.935344537588977|0.934395287019855
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.128886730124177|0.561672714881151|0.76913961076116|0.874452291158587|0.978946110281795
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.156987404286052|0.459818578995954|0.712439825140058|0.828514682284369|0.935307416289236
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.116533886124132|0.439911688299181|0.958658663719733|0.975781695786896|0.947651000247985
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0577204120891688|0.251880957368177|0.854591462078696|0.86700036355144|0.972882914767652
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00359852929672221|0.0128985647298112|0.473132975321084|0.965975031176517|0.996415275802882
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00393905508694912|0.00729829599053891|0.197297881837551|0.946657095130941|0.946210730243752
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0643280388781971|0.382775902341783|0.746210859767633|0.887818546601371|0.912852403771438
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0319700491118847|0.386267368231633|0.691511227493307|0.830319198037862|0.92575259902711
60	10|2|0.4|0.08|0.02	0.905445637454544|0.999883347619023|1.02159590600861|1.04469307744197|1.04964319586949
60	10|2|0.4|0.08|0.02	0.75374682375854|0.946527562928888|1.00568553561194|0.960855518418397|0.970740539745495
5Z-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.124929203767155|0.319471746951328|0.846291133681637|0.930294916004781|1.00451260998646
5Z-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.121137094534837|0.180421217707438|0.810361510335944|0.878732016533596|0.933940233911977
AK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.702786417075038|0.758509672480921|0.9378504637247|0.97167808071124|0.977303301638485
AK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.557308845481895|0.717144462895666|0.801441399286421|0.942961989069982|0.942702598231565
BI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.92531357225098|1.04224561457106|1.01374963482604|0.954985746281909|0.969100077712837
BI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.990733651185837|0.979197018271109|0.993742875527712|0.970478669067427|1.0108396996122
CT-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.758765442740021|1.01671341630592|0.975527274494503|1.00369993058618|1.04666130551157
CT-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.640081572695154|0.889256080127567|0.984795898624653|0.940308703502142|0.957642901222398
PD-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.712886914275362|0.878571069487826|0.823181136538897|0.928319189278658|0.944132960121259
PD-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.649863270449438|0.788852202137781|0.805921817066011|0.898937749402194|0.905584996646972
PI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.490546396394536|0.930621248610979|1.05413153665982|1.09131392077727|0.978853835763001
PI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.38621595608009|0.779495780268262|1.01406577246083|1.00294121291986|0.985351768239031
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00167071427341153|0.015350763878124|0.470392187257789|1.04240513959937|1.06750460738215
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00200657951394271|0.00659673780120223|0.145274634423604|1.04295630307101|1.00107218519093
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.411137298765629|0.784999356405101|0.936710209190535|0.979653524014967|1.04760826819709
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0697257398012401|0.704257047364146|0.861609342334785|0.939972569541539|0.969049743227828
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.24852832508788|0.6793629456793|0.900941910131883|0.95301142015913|0.896859599444745
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.265040870842029|0.561670959648516|0.79930039352864|0.850159339956427|0.939290426427711
SB	10|2|0.4|0.08|0.02	0.563922604971203|0.852654734581559|0.922505022644309|0.956208776950579|1.00803531393475
SB	10|2|0.4|0.08|0.02	0.397094706302536|0.73814486305672|0.829297948487063|0.905178160598078|0.946995170375614
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.150204264368459|0.255812784378969|0.899150218492209|0.976462408621692|0.91108263435113
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0778471569454154|0.155136582529539|0.745481949138315|0.894441751693824|0.941659212858933
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.552357307798758|0.780268261751426|0.972562449138084|1.02374864196103|0.983922470949326
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.396943947586925|0.724740475138076|0.934289502926755|0.976705758911421|0.952940593282303
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.621083725176114|0.901518283125786|0.990216848378374|1.0110964708314|0.997235570712551
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.513886735906578|0.84864964949448|0.935910022563255|0.986177853562755|0.967502884996297
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.615219022002068|0.711776011220744|0.945902519784995|0.981286923483224|1.02644953106344
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.409721389987439|0.705948148444054|0.875608641038274|0.906190495212986|0.91245333936981
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.515642080630188|0.79083283436149|0.868200020874418|0.963686202558764|0.879248081476151
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.50495877302366|0.72834141759274|0.888815157025066|0.865971951373592|0.892748336913113
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.50512630044371|0.837086529409194|0.935040378802023|0.985640003018976|1.00663777453812
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.46019917295951|0.691913514286509|0.915802352417763|0.940955188070279|0.953734195065563
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00180859837812266|0.00883366337462687|0.230566987218401|1.05016767214131|1.06382426452426
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0023612256603268|0.00347485336537455|0.0738636601509677|0.963233539452145|1.00061123926668
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.534517469337636|0.719752892518716|1.03283978468524|1.11643845396005|1.07334694518612
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0821184992694338|0.656648152643127|1.02148864171795|0.951320968440491|1.03738976065032
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.1733183532366|0.75616705312129|0.951263461882142|1.00322937191733|1.02432444430785
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.247066872016929|0.614279583699014|0.888146713883567|0.923252046957367|0.99143652980823
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.47105880947403|0.940660075863923|0.973304262118814|1.01954421910935|1.02853319793316
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.517518592634629|0.670555837639258|0.942146291926764|0.968109674143544|1.00450524177892
RU	10|2|0.4|0.08|0.02	0.626531385786718|0.967865480853214|1.08050384254097|1.01715547596421|0.990106624331881
RU	10|2|0.4|0.08|0.02	0.231789541916381|0.935494751182426|0.944899225998539|0.995881147653551|0.971965656088464
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.373860435924224|0.516312400443313|0.972439928339047|0.979586161968054|1.0669815405516
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.180677760078811|0.283509638874875|0.938408920279176|0.918582988071073|0.994843907031433
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.599366153253593|0.834412770714103|0.977748378750644|1.00319016658363|0.992393001729054
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.470951481836565|0.753155627378495|0.884634868269565|0.94251001636949|0.953093666137763
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.739452003940774|1.04383397347117|1.09476419606779|1.11769017328936|1.03136437406894
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.454221816087687|0.983503957432024|1.04442413771768|1.05546592039446|1.08416979596499
CT-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.241147684857922|0.897940692021277|0.987607271038442|1.03683669531781|0.983891842790942
CT-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.128910789881377|0.796872847891688|0.925993085934076|0.980873057339849|0.973460413728416
PD-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.643048893402228|0.661256234879484|0.805734595740868|0.867056539529883|0.946332546817598
PD-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.362407335503719|0.694043786027896|0.698741375705624|0.830842567426301|0.844964009438189
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.801554119868367|1.04378215707213|1.08193706512622|1.01631236849482|1.02952805934626
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.711378517848709|0.895215802109319|1.03322792921817|1.03079334503359|1.00416126284238
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00153892916887197|0.0073035367738178|0.418070089296152|1.02904622526607|1.00894661998865
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00183651215732787|0.00392809544761795|0.112558639790672|0.952758700582625|0.990951351558166
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.482385628449992|0.781359856225541|1.02292537225435|1.02159038387233|1.02881279735866
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.279484239661999|0.720489439589144|0.921571538216148|0.943664121976667|0.977215706959522
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.230975295606941|0.791831906201803|0.959226971956727|1.0634619317962|0.963008087385779
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.112562258497836|0.560936213024948|0.88031000724161|0.926727068695792|0.966072780944063
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.6786969272636|1.03988963007466|1.10145233864085|1.10061606360285|1.08198367195963
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.477048959997794|0.974499354988415|1.03398516071299|0.990967540351994|1.07571160917467
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.381528755522654|0.969945445372287|1.0208316633739|1.11140554788029|1.03362394556797
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.198282731597833|0.773534640066767|0.938490482410023|1.01675774821884|0.978776976721158
D4	10|2|0.4|0.08|0.02	0.838928041239587|0.829883430102237|1.01956720684912|0.971058771429413|1.07667522188857
D4	10|2|0.4|0.08|0.02	0.688105987310057|0.893658191797676|0.931599310201148|0.951494836870861|0.989998789252489
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.121473375887701|0.505601999757682|0.941089196249604|0.99402495871036|1.01568900026995
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0888030149407916|0.353558348584462|0.812359046629129|1.01472823233579|0.9714851729276
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.562636538884695|0.867485557805102|0.971079813986004|0.967041158281402|1.00378913500544
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.382055145127345|0.736319790781631|0.916261063926782|0.957704662246887|1.00539785917557
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.750460754343584|1.0351676902581|1.0831944897429|1.00670539914538|1.03254523242251
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.568087164660943|0.967187214965257|0.984823575586377|0.991996639008508|0.957515519709893
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.639732024394419|1.03119145069596|1.03042869434262|0.985223893113022|1.03506037147613
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.523650616235912|0.96780455976667|1.00613076906288|0.987590275775479|0.906816215924377
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.420070633390073|0.647191403284594|0.793640165785714|0.891451850943743|0.89009387922539
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.302639086009591|0.673827452718537|0.824387851811336|0.843564487153493|0.864278271037953
