#Treatment	Dose	Effect
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.960334056427394|1.20742376569147|1.17704078641365|1.15525676353521|1.10826216394041
D4	10|2|0.4|0.08|0.02	1.13399864354229|1.00512224267674|0.986532312760391|1.0028356425411|0.957840002583729
D4	10|2|0.4|0.08|0.02	0.880418564092627|0.980408875109001|1.16133449601137|0.895804670090108|0.974298356102445
D4	10|2|0.4|0.08|0.02	0.925332074708381|1.01362012001888|0.962645809453172|1.02871013417841|1.05479064122446
D4	10|2|0.4|0.08|0.02	0.846065673251972|0.943429303485942|0.906290877216641|0.966192434765019|1.15679320342526
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0875901581591975|0.443167139475522|0.504255279698886|0.593266954678335|0.844640572562253
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0819782569731581|0.389161861321763|0.473995512951254|0.61229055803806|0.804813379563532
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0778718038316039|0.393284817915255|0.508858874827183|0.612850002278908|0.865365157016758
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0779204205344799|0.396335516020723|0.43544765348445|0.57072362923687|0.812360796706218
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.640294671680567|1.08289041546746|1.15399536424305|0.92349600498589|0.89744613208406
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.482903020244673|1.0165892873399|1.05464170920779|0.881522096874715|1.02500647745496
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.482531387346501|0.86599852160011|0.826734971033677|0.773730323815418|0.922636135989869
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.3366167563448|0.856394652547375|0.903909737383461|0.832889240343126|0.960719258737171
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.02729830234438|1.05997089733226|1.04182376717866|1.01858043654002|1.03284721099434
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.75290541632983|1.00014874696847|0.992737267582862|0.910396119644301|1.17516572352466
