#Treatment	Dose	Effect
AK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.11190611163033|0.689071381513429|1.01694525731971|0.979500222157533|1.01588809388837
AK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00812024084940783|0.638633960992201|0.933276134152507|1.03139315754799|0.975103035131533
BI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.54819808741193|0.867189421449342|0.931569277064857|0.900044848888182|0.8998423055222
BI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.271176632282519|0.800292241142345|0.922396956062557|0.955122177051837|0.986747876911503
BI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.577474592788528|0.950096135394757|0.914004914004914|0.879102686147097|0.949674719965685
BI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.424937258015359|0.867799722317333|0.915299261394208|0.932833153353827|0.949825225476068
CT-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.790678538437056|1.02275250153314|1.007009726675|1.00267813477616|0.968537738412215
CT-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.681208809122736|1.01174497946763|0.949953811878498|0.92866846244013|1.00464986298818
CT-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.715982451165196|1.06490733481242|1.05731729694564|1.02405458154703|0.976579311725357
CT-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.692078002235308|1.03896775485012|1.10699451181877|0.914424408227267|1.07898643802025
PD-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0988345998483277|0.21489483540464|0.238729048333927|0.400755265968149|0.502081624440902
PD-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.137325306052961|0.176388652438364|0.289430919474409|0.348211660192221|0.490133564452974
PD-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.082832980656353|0.197429321289975|0.260148498194244|0.373712978263633|0.49327421320632
PD-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.156139944219712|0.186497581109474|0.281443707519871|0.354960034096262|0.490148722511758
PI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.407520414204293|0.355492655790768|0.71177000171651|0.909932285445049|0.945481551024126
PI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.403470852614875|0.420411752136004|0.753442652813149|0.896536503855141|1.009041451957
PI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.31838693915093|0.37071369032221|0.786280934724498|0.95503147365698|0.98659135983444
PI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.41262108016441|0.39790463050789|0.674915926532724|0.927624960478285|1.00209824379868
PK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000397872120953125|0.00254932877499595|0.0734884543404901|0.83508937386717|0.992440429701891
PK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000987312300142939|0.00305035292730729|0.075404134922857|0.837874478713842|1.11351144250748
PK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000590962814801346|0.00213655786889717|0.0738097402794193|0.828848077097918|1.03527593417583
PK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000500045458678062|0.00337909506924872|0.0666121162529927|0.831908961420735|0.975725065915083
JN-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.208286897785873|1.025264932274|1.17229285751377|1.20424850307773|1.06399517469752
JN-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.256028632258425|0.99535444802614|1.16320147635083|1.12169109276324|1.01064522442849
