#Treatment	Dose	Effect
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.307646900992756|0.473048027904481|0.605842500670781|0.901562919237993|0.908076200697612
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.280500402468473|0.483693319023343|0.581251676951972|0.860564797424202|0.934384223235847
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.837991054895593|1.05684280378248|0.938233869737964|0.984363662566129|0.99207207026046
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.544468295821876|0.961540072827695|0.961902032841168|0.929385958297514|1.02167235580669
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.920850054531401|1.12507632631308|1.03308238300456|0.985490059049212|1.03531305259368
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.658386364679182|1.19411413828034|1.0231714333111|0.904818881629801|0.999650575491577
CT-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.672079438461591|1.26166092448066|1.15130942147194|1.12234579015413|1.07706938681576
CT-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.318945152534572|1.26717748431334|1.10195820952097|1.07537719054807|1.02859811692399
PD-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.598531946897794|0.635759477411365|0.61690830071879|0.602968351638227|0.610948210644182
PD-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.460174231646236|0.636822513691021|0.599864285701631|0.62444877139582|0.596646829228537
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.609988681299375|0.58332685316122|0.688319081754811|0.951181743387104|0.949242491880584
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.576334027431769|0.571722064938045|0.837138394395755|0.904608986414679|0.892201616874944
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000960419409600027|0.00368293062854886|0.146225839449227|1.07988844053883|0.874001506112256
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00102391821354052|0.00288125822880008|0.1034078022171|1.00240402503043|0.976651291357317
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.277281023799528|0.872020096452651|0.872035976699708|0.981689082627903|1.01179009092434
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.182920595787169|0.833768551354238|1.01094049770679|0.960099886753988|0.97375689922296
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.702755088505988|0.932862100097128|1.01449641226633|1.02743107999983|0.951641543260324
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.483751438730409|0.986068383016777|0.991669269574221|0.973604378019195|0.928335180328009
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.780630465228878|1.04974421131189|0.922260385627308|1.03171173161847|1.02987035634944
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.638736253321245|0.953880048482328|0.949894012605838|0.984165255848262|1.00063364972493
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.559071946499157|0.885227280503076|0.935183601225301|0.965556095369084|0.999012369332813
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.560764375956553|0.857883824525629|0.905340276399733|0.921598547521458|0.986353361935847
D4	10|2|0.4|0.08|0.02	0.892439703198517|0.924354790863245|0.967870826649156|0.942126782887354|0.980477881492532
D4	10|2|0.4|0.08|0.02	0.767213977203234|0.942725838798279|0.917734455027125|0.964499217099206|0.978227581724571
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.250042415216695|0.361558220961947|0.458064496925765|0.815729447471111|0.854483561251046
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.163965817800104|0.312553019020868|0.420508923070207|0.718111942438334|0.858892759449664
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.857084724095595|0.907309975474943|0.928240141095995|0.951635715072637|0.910474114701039
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.70862029436023|0.820262401232307|0.867899172341374|0.916703141609126|0.931360609642685
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.987638685053891|1.01560460907181|0.945039428701014|0.928078455199326|0.962458228682187
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.889128974425898|1.04802899282453|0.960900762901507|0.859635535892312|0.929058289440468
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.907966980891941|1.05285505235463|1.03179405192462|0.991582748696685|1.02406894109007
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.510030620987562|1.06780701953916|1.0110536674238|0.985590696938876|0.984533530902068
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.464788571767448|0.497533204234267|0.494599963961745|0.492218702029775|0.507952365637752
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.394951907176403|0.469541972022453|0.507441443537406|0.498459250541144|0.508682254352532
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.45217301173553|0.515395925387057|0.60188643753527|0.897942731226799|0.978179668395453
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.447681493794411|0.511211519783793|0.630348073445916|0.913079530578792|0.872114583613253
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000884161425565693|0.00280948490366669|0.224167974144476|1.05103243405715|0.93643437115568
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00105768843432158|0.00207406091417747|0.141445170113278|0.997288640488189|0.989860031875259
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.248930463914177|0.726123489786175|0.880697619025523|0.986977901925423|0.953330178085878
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.148061533512131|0.699483302451091|0.963352728825042|0.96205350928478|0.978411301972648
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.687350876868493|0.91388421353834|0.968888821191505|1.0346993819108|0.958056756277451
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.480214291231968|0.801890497789741|0.960537381830288|0.88981779370117|0.930382549452032
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.10381145227621|1.02666851833601|0.940615172339644|0.948226429294604|1.08116135506357
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.998969635609393|0.972928295598104|1.03858938635081|0.905067600863714|0.947173665678114
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.845125626193037|0.973639332189956|0.993071906824414|0.986938364194839|1.10417817311512
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.902837126827708|1.02541108301115|1.03363274323421|0.964032053331783|0.998352761063147
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.582476937782879|1.01194666994253|1.01166259103002|0.963311592339083|0.912657251114242
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.309177668326353|0.964252123873761|0.994314582845473|0.933955491744436|0.89534763197193
F4	10|2|0.4|0.08|0.02	0.794150487166748|0.873134197318801|0.929604843882502|0.979758281008398|0.905203641175067
F4	10|2|0.4|0.08|0.02	0.687414850400093|0.846204458198067|0.913888254803754|0.941805445236219|0.950597480346517
5Z-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.240207132715276|0.462229316373363|0.532762501636914|0.764530894100203|0.865548306735422
