#Treatment	Dose	Effect
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.209304368560421|0.645407426929207|0.602135963756385|0.743634150320646|0.966881267020569
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.547519138818488|0.893799806652209|1.01199278864996|0.988770151281582|1.01481462127348
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.324249470906383|0.756407911582578|1.01800224701487|0.924599587176338|1.07333106889975
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.441544882098775|0.89946468861984|1.00919319874357|0.988842518175517|1.00644438217988
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.25272595891522|0.690330477356181|0.927967438911091|0.981469083187094|0.968090722744098
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.321821480285605|0.845042136156095|0.961780647881542|0.980210708519881|0.996144222714134
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.350437450415814|0.743504818334637|0.868143512585368|0.881880065908826|0.929946906778956
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.314711922102108|0.626032153230431|0.770333187387843|0.8194695395317|0.903706809898804
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.251897805267604|0.50375861027004|0.725772534703165|0.70130302600502|0.872367585301028
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.215508775579506|0.762449024544701|1.00210173370086|1.03467707641806|1.01870757144212
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.122824460876242|0.652718334031872|0.805817549935296|0.940340743958663|1.07792323012301
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00220875218051529|0.00202050625603956|0.00347627473865191|0.931491033219131|1.02994365171994
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00107927663366088|0.0018448100598622|0.00240954783328941|0.811026191282959|0.907772046735188
D1	10|2|0.4|0.08|0.02	0.995433789954338|1.02954079832309|1.04208602592259|1.05335671738478|1.03421760861207
D1	10|2|0.4|0.08|0.02	1.01260316106029|0.959399177344857|1.04930137512969|1.04684710306363|1.00935888725622
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.76781038206385|0.626296754135129|0.81703899798944|0.96462159301782|0.866921547988149
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.751117854407888|0.595653632919271|0.755385634674567|0.931052977264318|0.901086735176777
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.957976987205231|1.05015754249874|1.01316672551488|1.017209732326|1.04944597329998
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.884944112169181|0.904361326214048|1.00118864400247|1.071342898189|0.978418429642248
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.903288201160542|1.01654973504401|1.0414201183432|0.984640564018633|1.02040676181429
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.815000057225917|0.90348276927655|0.873153033545832|0.986860929577787|0.974328453870189
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.718939114012399|0.868536081345541|0.94150620629251|1.02318019460525|1.05348496667625
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.677740827414433|0.759403867471363|0.845139658688125|1.01831916902738|0.964212888834148
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.571757302526533|0.65611205034282|0.734044801352494|0.818951347797502|0.979829999060768
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.545423593500517|0.70324974171128|0.626127078050155|0.816204095050249|0.89589790551329
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.772179298794457|0.856951751960521|0.993474585644088|0.966361725995797|1.06819821670274
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.598305182938069|0.712044366497606|0.835021303713535|0.933434453555798|1.04620456831672
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00196180221936046|0.00196180221936046|0.0345093630165864|1.09865513295225|1.08944269329058
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00136523078423331|0.00231745057491704|0.0140767913634812|1.00113864836416|1.05839803360877
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.555056319084879|0.879510311015037|1.00251475023652|0.995280463382487|1.05177474522319
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.210883235267957|0.705197420022587|0.925115427844457|0.927735296258062|0.998514868831382
60	10|2|0.4|0.08|0.02	1.04049305849633|0.972932141508246|0.973103819257665|0.883110343012143|0.990763737081249
60	10|2|0.4|0.08|0.02	0.93962665812093|0.979249882686871|0.959289483021071|0.886337884701224|0.941755462213727
5Z-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.650578204759754|0.575232308302884|0.731507711677683|0.897888355161418|1.01582296670362
5Z-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.693177868100888|0.627269368148787|0.648279071040495|0.818469707544717|1.01462960682076
AK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.888971071663379|0.775476660092045|0.87116089039166|0.948682727528881|1.00837090260167
AK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.686132243824552|0.721834789142481|0.875962712501174|0.859784446322908|0.838428665351742
BI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.779912751661376|0.946534002057234|1.00643438085348|0.996408432205782|1.01100055726992
BI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.886564885121384|0.954684381467216|0.967459855699005|0.959554969644747|0.940239552416514
CT-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.767185555684521|0.861012063022477|0.967741064752707|1.06131923956261|1.0950060868462
