#Treatment	Dose	Effect
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0721230083164258|0.164943599260454|0.224152257760728|0.257764190204483|0.3445638550546
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0652884435611752|0.0826622256999024|0.163340557983007|0.200747162651562|0.278319818852873
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.494072466860159|0.788442014837954|0.979981241219401|1.04131359770064|1.01897696212417
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.477638808938197|0.681911463386161|0.891339964656203|0.900508419311078|0.942412153757593
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000640595818818149|0.00113236634639572|0.00171472618168495|0.584466036693523|1.0420488066072
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000744126456202901|0.00133942762116522|0.00174060884103113|0.0377175053322322|0.919795300517896
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.311987836497631|0.8134735910641|1.07128809765298|1.21646647256557|1.11096196280833
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0252043967086552|0.705524382310428|1.18425418870302|1.16265309833727|0.963402631051052
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.574954208040104|0.823446966607094|1.06331155588844|1.01634420722438|1.0583875297555
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.492246883551231|0.752649259542155|0.899802742326602|0.919739857173579|0.940963596318846
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.586032401417017|0.875696998773922|1.00657429888199|1.02269068422915|1.14424785194016
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.571932018085864|0.710819049280588|0.927388065849604|0.915687500302885|0.978513101590025
RU	10|2|0.4|0.08|0.02	0.808722206449558|0.977405081259997|0.955911171431935|0.961094222819275|1.0133956084286
RU	10|2|0.4|0.08|0.02	0.634967073601407|0.945600465332068|0.831306738313033|0.92207072770457|0.925477623205667
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0276374000169071|0.313836814710748|0.411099079370574|0.54027864437619|0.923817613126316
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00230580032767484|0.268657942089309|0.355598851930423|0.447512046277026|0.76243735332123
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.502120355983626|0.833563985573653|0.953924822198263|0.9728935761666|1.01357141066155
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.313668713284032|0.700151817973727|0.875510070376568|0.873287397005215|0.866308784978999
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.883912418283499|0.986229820453357|0.954879930408568|0.936612179625384|1.0802082493593
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.643919467415574|1.00494001676044|0.902795093354131|0.881876418965915|0.926150967662107
CT-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.727131828934586|1.12043100060067|1.08406069010523|1.02013733880118|1.01622926384326
CT-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.570341641391482|1.03916603015224|1.0674606411616|0.996822371689816|0.930340603193201
PD-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.21347135193289|0.209989871528333|0.204821927898851|0.247933355625663|0.325084202007279
PD-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.120657720657721|0.116230270076424|0.11968073506535|0.175109159724544|0.272443287827903
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.02372982184147|1.06927020889987|1.00218762021318|1.04122413677071|0.971133881858538
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.87783308449465|0.943912009976811|0.913709058974353|1.00400219011275|0.992224102705986
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000970241593044292|0.00133985743801355|0.00168637229267222|0.712411440187927|1.01334804096383
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00110884753490776|0.00146691288472173|0.00169792278782751|0.107229021774127|0.928752214446493
