#Treatment	Dose	Effect
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.968808884256104|0.909200978230365|0.937946518061179|1.03921741570781|0.929583450266608
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.935267965463308|0.962637510312107|1.0938933662823|0.976927010814181|1.03065822038232
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.877803866526808|0.921038191191128|0.946518894019538|0.9198735297082|0.906360470194745
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.01046225340525|1.00277215605936|0.918850867926713|0.922050940693225|1.01359617479674
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.939581055073087|0.856941449831417|0.842925627249405|0.896293249045456|1.06237454495089
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.498554300199296|0.692360073728907|0.98506526149162|0.983817431823935|1.06577488439749
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.387390502946661|0.52711890390642|0.803837611012275|0.835111787712086|1.06566079711359
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0017499396572532|0.00346216509775525|0.00640387400434468|0.956749336229785|1.10388758146271
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00178011103065412|0.00270788076273232|0.0038619357953174|0.918921976828385|1.04672791455467
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.782657609547002|0.905277623502941|0.923427464718532|0.9737542900272|0.999857592458097
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.569309750644394|0.836758234716111|0.937176912889307|0.858240412412241|1.01099386223494
60	10|2|0.4|0.08|0.02	1.13758569538548|1.04149460770557|1.05212684921621|0.962225874994989|1.08162610752516
60	10|2|0.4|0.08|0.02	1.05983241791284|1.0048751152628|1.0475724652207|0.910018842961953|0.969899370564888
5Z-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.546509935085054|0.899103733262657|0.862177991630862|0.957590643886087|1.01810078054717
5Z-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.508553915987592|0.825356770901381|0.82215395182333|0.897050644110061|0.945720055694709
AK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.083931624285|1.01032168173333|1.09419335633472|0.97608007623946|0.962874608001422
AK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.988582686117927|0.95857476862523|0.962610002501349|1.00546782459136|0.996653153870166
BI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.08271453253318|1.02089048395566|1.02029435567024|1.02056469291595|0.999034757398316
BI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.01074243965501|1.0108394837945|1.01070778103376|1.0412766849722|0.971716832132701
CT-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.927307250610867|0.975331049206491|0.874529827281159|1.04903508654987|1.06585560483971
CT-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.879001586446075|0.910082978938167|0.912467409293565|1.01180597745456|1.06407299556443
PD-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.924545570999716|0.923669294876198|0.94951201445113|0.971025335890376|1.01520301943959
PD-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.861876976030506|0.874100285346695|0.902096564886205|0.985966586403239|0.977211251236905
PI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.611764890325135|0.858421144428266|0.922589710375264|0.972279979070355|0.97111983397383
PI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.498313674230473|0.764982431248665|0.880534450626224|0.987722450963293|1.03756949602278
